drug_name,quantity,reorder_level,strength,dosage_form,unit_of_measure,reorder_quantity,location,batch_number,expiry_date,notes
Paracetamol,1000,80.0,500mg,Tablet,units,300.0,Shelf B9,BATCH001,2025-12-31,Sample entry
Amoxicillin,2000,50.0,500mg,,units,100.0,Shelf A2,BATCH002,2026-01-15,
Ibuprofen,4882,50.0,200mg,Tablet,units,165.0,Shelf B3,BATCH103,2028-05-15,Auto-generated sample data
Ciprofloxacin,3385,124.0,500mg,Tablet,units,824.0,Shelf B4,BATCH104,2028-07-08,Auto-generated sample data
Metformin,3883,265.0,850mg,Tablet,units,187.0,Shelf B5,BATCH105,2027-10-01,Auto-generated sample data
Insulin Glargine,2466,189.0,100IU/ml,Injection,units,771.0,Shelf B6,BATCH106,2028-02-29,Auto-generated sample data
Artemether-Lumefantrine,4142,170.0,20/120mg,Tablet,units,328.0,Shelf B7,BATCH107,2026-11-18,Auto-generated sample data
Azithromycin,4334,83.0,250mg,Tablet,units,924.0,Shelf B8,BATCH108,2027-02-14,Auto-generated sample data
Ceftriaxone,4828,79.0,1g,Injection,units,118.0,Shelf B9,BATCH109,2028-05-13,Auto-generated sample data
Omeprazole,2131,261.0,20mg,Capsule,units,889.0,Shelf B10,BATCH110,2027-12-06,Auto-generated sample data
Salbutamol,4689,225.0,100mcg,Inhaler,units,539.0,Shelf B11,BATCH111,2026-08-01,Auto-generated sample data
Amlodipine,4994,165.0,5mg,Tablet,units,666.0,Shelf B12,BATCH112,2027-04-21,Auto-generated sample data
Losartan,3585,76.0,50mg,Tablet,units,793.0,Shelf B13,BATCH113,2027-04-28,Auto-generated sample data
Gentamicin,3874,267.0,80mg/2ml,Injection,units,303.0,Shelf B14,BATCH114,2027-07-03,Auto-generated sample data
Doxycycline,2658,291.0,100mg,Capsule,units,802.0,Shelf B15,BATCH115,2027-07-12,Auto-generated sample data
Morphine,4037,122.0,10mg/ml,Injection,units,450.0,Shelf B16,BATCH116,2028-04-17,Auto-generated sample data
Heparin,3923,250.0,5000IU/ml,Injection,units,927.0,Shelf B17,BATCH117,2027-06-24,Auto-generated sample data
Diazepam,456,166.0,10mg,Tablet,units,1313.0,Shelf C18,BATCHX1018,2028-03-05,Auto-generated sample data
Prednisolone,2423,101.0,5mg,Tablet,units,205.0,Shelf C19,BATCHX1019,2028-04-30,Auto-generated sample data
Loperamide,1994,196.0,2mg,Capsule,units,1451.0,Shelf C20,BATCHX1020,2027-10-21,Auto-generated sample data
Tranexamic Acid,5370,255.0,500mg,Injection,units,528.0,Shelf C21,BATCHX1021,2027-06-08,Auto-generated sample data
Imipenem,80,377.0,500mg,Injection,units,630.0,Shelf C22,BATCHX1022,2027-05-31,Auto-generated sample data
Cloxacillin,5571,234.0,500mg,Capsule,units,1266.0,Shelf C23,BATCHX1023,2026-11-18,Auto-generated sample data
Piperacillin-Tazobactam,4849,117.0,4.5g,Injection,units,338.0,Shelf C24,BATCHX1024,2026-06-28,Auto-generated sample data
Ethambutol,2980,108.0,400mg,Tablet,units,1488.0,Shelf C25,BATCHX1025,2028-05-12,Auto-generated sample data
Co-trimoxazole,607,143.0,960mg,Tablet,units,153.0,Shelf C26,BATCHX1026,2027-02-16,Auto-generated sample data
Famotidine,3392,209.0,20mg,Tablet,units,811.0,Shelf C27,BATCHX1027,2028-09-29,Auto-generated sample data
Itraconazole,1466,135.0,100mg,Capsule,units,194.0,Shelf C28,BATCHX1028,2028-08-27,Auto-generated sample data
Ranitidine,5414,142.0,150mg,Tablet,units,1090.0,Shelf C29,BATCHX1029,2027-07-26,Auto-generated sample data
Zinc Sulfate,2697,374.0,20mg,Tablet,units,300.0,Shelf C30,BATCHX1030,2027-05-04,Auto-generated sample data
Acetylcysteine,1709,364.0,200mg,Sachet,units,1386.0,Shelf C31,BATCHX1031,2028-08-26,Auto-generated sample data
Ketamine,4341,178.0,50mg/ml,Injection,units,1186.0,Shelf C32,BATCHX1032,2027-09-06,Auto-generated sample data
Tranexamic Acid,1739,322.0,500mg,Injection,units,590.0,Shelf C33,BATCHX1033,2028-10-13,Auto-generated sample data
Linezolid,1073,85.0,600mg,Tablet,units,1074.0,Shelf C34,BATCHX1034,2028-05-01,Auto-generated sample data
Meropenem,920,239.0,1g,Injection,units,422.0,Shelf C35,BATCHX1035,2026-11-25,Auto-generated sample data
Ketamine,2987,145.0,50mg/ml,Injection,units,705.0,Shelf C36,BATCHX1036,2026-07-22,Auto-generated sample data
Iron Sucrose,4638,327.0,100mg/5ml,Injection,units,511.0,Shelf C37,BATCHX1037,2027-03-08,Auto-generated sample data
Linezolid,5380,152.0,600mg,Tablet,units,950.0,Shelf C38,BATCHX1038,2026-06-10,Auto-generated sample data
Isoniazid,3207,324.0,300mg,Tablet,units,174.0,Shelf C39,BATCHX1039,2026-09-19,Auto-generated sample data
Midazolam,5181,61.0,5mg/ml,Injection,units,444.0,Shelf C40,BATCHX1040,2027-06-11,Auto-generated sample data
Povidone-Iodine,2363,104.0,10%,Solution,units,1113.0,Shelf C41,BATCHX1041,2026-09-28,Auto-generated sample data
Clindamycin,5987,331.0,300mg,Capsule,units,956.0,Shelf C42,BATCHX1042,2028-03-23,Auto-generated sample data
Pyrazinamide,2346,337.0,500mg,Tablet,units,933.0,Shelf C43,BATCHX1043,2027-01-08,Auto-generated sample data
Vancomycin,106,211.0,1g,Injection,units,278.0,Shelf C44,BATCHX1044,2027-12-06,Auto-generated sample data
Domperidone,2388,381.0,10mg,Tablet,units,420.0,Shelf C45,BATCHX1045,2028-05-20,Auto-generated sample data
Furosemide,2219,269.0,40mg,Tablet,units,506.0,Shelf C46,BATCHX1046,2029-04-15,Auto-generated sample data
Rifampicin,2718,390.0,600mg,Capsule,units,423.0,Shelf C47,BATCHX1047,2029-02-12,Auto-generated sample data
Povidone-Iodine,4259,248.0,10%,Solution,units,1011.0,Shelf C48,BATCHX1048,2026-11-19,Auto-generated sample data
Piperacillin-Tazobactam,1094,67.0,4.5g,Injection,units,600.0,Shelf C49,BATCHX1049,2028-07-15,Auto-generated sample data
Fluconazole,392,201.0,200mg,Capsule,units,1492.0,Shelf C50,BATCHX1050,2026-08-06,Auto-generated sample data
Povidone-Iodine,4442,142.0,10%,Solution,units,848.0,Shelf C51,BATCHX1051,2028-09-10,Auto-generated sample data
Levofloxacin,5684,175.0,500mg,Tablet,units,390.0,Shelf C52,BATCHX1052,2028-08-10,Auto-generated sample data
Lisinopril,1822,388.0,10mg,Tablet,units,172.0,Shelf C53,BATCHX1053,2028-08-10,Auto-generated sample data
Iron Sucrose,2941,119.0,100mg/5ml,Injection,units,571.0,Shelf C54,BATCHX1054,2027-03-03,Auto-generated sample data
Furosemide,188,147.0,40mg,Tablet,units,761.0,Shelf C55,BATCHX1055,2027-06-24,Auto-generated sample data
ORS,3206,394.0,Standard,Sachet,units,451.0,Shelf C56,BATCHX1056,2027-01-08,Auto-generated sample data
Hydrocortisone,3899,95.0,100mg,Injection,units,650.0,Shelf C57,BATCHX1057,2027-09-09,Auto-generated sample data
Budesonide,111,173.0,200mcg,Inhaler,units,1273.0,Shelf C58,BATCHX1058,2026-11-02,Auto-generated sample data
Ondansetron,2669,94.0,4mg,Tablet,units,1408.0,Shelf C59,BATCHX1059,2028-10-16,Auto-generated sample data
Meropenem,5398,389.0,1g,Injection,units,1022.0,Shelf C60,BATCHX1060,2026-12-03,Auto-generated sample data
Folic Acid,1876,55.0,5mg,Tablet,units,1231.0,Shelf C61,BATCHX1061,2027-03-20,Auto-generated sample data
Cefixime,1696,367.0,200mg,Tablet,units,989.0,Shelf C62,BATCHX1062,2026-08-04,Auto-generated sample data
